"","game_date","time","home","guest","home_score","guest_score","date","hour","1","X","2","advantage","winner"
"48","2016-12-06","03:00","Houston Rockets","Boston Celtics",107,106,"05/12/2016","08:35",1.8,9,1.8,-4,"2"
"49","2016-12-06","03:00","Houston Rockets","Boston Celtics",107,106,"05/12/2016","17:30",1.8,9,1.8,-5,"2"
"50","2016-12-06","03:30","Dallas Mavericks","Charlotte Hornets",101,109,"05/12/2016","08:45",1.8,9,1.8,5,"2"
"51","2016-12-06","03:30","Dallas Mavericks","Charlotte Hornets",101,109,"05/12/2016","20:20",1.8,9,1.8,4,"2"
"52","2016-12-06","05:30","Los Angeles Lakers","Utah Jazz",101,107,"05/12/2016","18:20",1.8,9,1.8,3,"2"
"53","2016-12-06","02:30","Atlanta Hawks","Oklahoma City Thunder",99,102,"05/12/2016","18:20",1.8,9,1.8,-1,"2"
"54","2016-12-06","02:30","Atlanta Hawks","Oklahoma City Thunder",99,102,"05/12/2016","19:00",1.8,9,1.8,-2,"2"
"55","2016-12-06","02:30","Atlanta Hawks","Oklahoma City Thunder",99,102,"05/12/2016","22:50",1.8,9,1.8,-3,"2"
"56","2016-12-06","02:30","Toronto Raptors","Cleveland Cavaliers",112,116,"05/12/2016","08:35",1.8,9,1.8,-1,"2"
"57","2016-12-06","02:30","Toronto Raptors","Cleveland Cavaliers",112,116,"05/12/2016","15:35",1.8,9,1.8,1,"2"
"58","2016-12-06","02:30","Toronto Raptors","Cleveland Cavaliers",112,116,"05/12/2016","21:05",1.8,9,1.8,-1,"2"
"59","2016-12-06","03:00","Milwaukee Bucks","San Antonio Spurs",96,97,"05/12/2016","08:35",1.8,9,1.8,6,"1.0"
"60","2016-12-06","03:00","Chicago Bulls","Portland Trail Blazers",110,112,"05/12/2016","08:35",1.8,9,1.8,-5,"2"
"61","2016-12-06","03:00","Chicago Bulls","Portland Trail Blazers",110,112,"05/12/2016","20:15",1.8,9,1.8,-4,"2"
"62","2016-12-06","05:30","Golden State Warriors","Indiana Pacers",142,106,"05/12/2016","18:20",1.8,9,1.8,-14,"1.0"
"63","2016-12-07","02:30","Detroit Pistons","Chicago Bulls",102,91,"06/12/2016","08:00",1.8,9,1.8,-5,"1.0"
"64","2016-12-07","02:30","Detroit Pistons","Chicago Bulls",102,91,"06/12/2016","18:30",1.8,9,1.8,-6,"1.0"
"65","2016-12-07","02:30","Detroit Pistons","Chicago Bulls",102,91,"06/12/2016","23:55",1.8,9,1.8,-5,"1.0"
"66","2016-12-07","03:00","Minnesota Timberwolves","San Antonio Spurs",91,105,"06/12/2016","08:00",1.8,9,1.8,4,"2"
"67","2016-12-07","04:00","Utah Jazz","Phoenix Suns",112,105,"06/12/2016","08:05",1.8,9,1.8,-7,"X"
"68","2016-12-07","02:00","Washington Wizards","Orlando Magic",116,124,"06/12/2016","07:55",1.8,9,1.8,-3,"2"
"69","2016-12-07","02:30","Miami Heat","New York Knicks",103,114,"06/12/2016","08:00",1.8,9,1.8,-1,"2"
"70","2016-12-07","03:00","Memphis Grizzlies","Philadelphia 76ers",96,91,"06/12/2016","08:05",1.8,9,1.8,-9,"2"
"71","2016-12-07","03:00","Memphis Grizzlies","Philadelphia 76ers",96,91,"06/12/2016","13:45",1.8,9,1.8,-8,"2"
"72","2016-12-08","02:00","Charlotte Hornets","Detroit Pistons",87,77,"07/12/2016","07:25",1.8,9,1.8,-5,"1.0"
"73","2016-12-08","02:00","Charlotte Hornets","Detroit Pistons",87,77,"07/12/2016","21:35",1.8,9,1.8,-6,"1.0"
"74","2016-12-08","02:30","Brooklyn Nets","Denver Nuggets",116,111,"07/12/2016","07:25",1.8,9,1.8,5,"1.0"
"75","2016-12-08","03:00","Milwaukee Bucks","Portland Trail Blazers",115,107,"07/12/2016","07:20",1.8,9,1.8,-2,"1.0"
"76","2016-12-08","03:30","Dallas Mavericks","Sacramento Kings",89,120,"07/12/2016","07:20",1.8,9,1.8,-4,"2"
"77","2016-12-08","03:30","Dallas Mavericks","Sacramento Kings",89,120,"07/12/2016","08:20",1.8,9,1.8,3,"2"
"78","2016-12-08","03:30","Dallas Mavericks","Sacramento Kings",89,120,"07/12/2016","18:05",1.8,9,1.8,4,"2"
